C_id,F_id,Q_id,Question,Answer,Answer_html
43000271385,43000413780,43000464186,How do I contact the Shiprocket support team?," You can connect with the Shiprocket support team via chat, email, or call       Chat - Say hello to us via chat for a faster resolution. It's available at the bottom-right corner of your Shiprocket panel.    Email - We recommend you to write an email in case you wish to contact us during offline hours. You can also write to us if you have over one query.    Call - We recommend you to connect over a call if you have a time-sensitive concern and it needs to be addressed immediately.     Create a Ticket - You can also create a ticket from your Shiprocket panel if you are looking for fast resolutions on your query.     Please note that the support team is available between 09:00 AM to 07:00 PM on all 7 days of a week.     Find the Shiprocket Support Escalation Matrix below for your reference:     Help Desk Line  9266623006  Call from your registered mobile number  Email Support  support@shiprocket.in  Write us from your registered email id  Escalation Desk  escalation@shiprocket.in  Write us with Ticket number in case you are not satisfied with the reply shared by the support team.  Feedback  feedback@shiprocket.in  Share your feedback if you are satisfied or unsatisfied with the Shiprocket support.       ","<p data-identifyelement=""502"">You can connect with the Shiprocket support team via chat, email, or call&nbsp;</p><p data-identifyelement=""503""><br data-identifyelement=""504""></p><ul data-identifyelement=""505""><li data-identifyelement=""506""><strong data-identifyelement=""507""><u data-identifyelement=""508"">Chat</u></strong> - Say hello to us via chat for a faster resolution. It's available at the bottom-right corner of your Shiprocket panel.<br data-identifyelement=""509""><br data-identifyelement=""510""></li><li data-identifyelement=""511""><strong data-identifyelement=""512""><u data-identifyelement=""513"">Email</u></strong> - We recommend you to write an email in case you wish to contact us during offline hours. You can also write to us if you have over one query.<br data-identifyelement=""514""><br data-identifyelement=""515""></li><li data-identifyelement=""516""><strong data-identifyelement=""517""><u data-identifyelement=""518"">Call</u></strong> - We recommend you to connect over a call if you have a time-sensitive concern and it needs to be addressed immediately.<br data-identifyelement=""519""><br data-identifyelement=""520""></li><li data-identifyelement=""521""><p data-identifyelement=""522""><strong data-identifyelement=""523""><u data-identifyelement=""524"">Create a Ticket</u></strong> - You can also create a ticket from your Shiprocket panel if you are looking for fast resolutions on your query.</p><br data-identifyelement=""525""></li></ul><p data-identifyelement=""526"" dir=""ltr"">Please note that the support team is available between <strong dir=""ltr"" style=""box-sizing: border-box; font-weight: 700; color: rgb(0, 0, 0); font-family: -apple-system, &quot;system-ui&quot;, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, sans-serif; font-size: 13px; text-align: left; text-indent: 0px;"">09:00 AM to 07:00 PM on all 7 days of a week</strong>.</p><p data-identifyelement=""529""><br data-identifyelement=""530""></p><p data-identifyelement=""531"">Find the <strong data-identifyelement=""532"">Shiprocket Support</strong> <strong data-identifyelement=""533"">Escalation Matrix</strong> below for your reference:</p><p data-identifyelement=""534""><br data-identifyelement=""535""></p><table border=""1"" cellpadding=""0"" cellspacing=""0"" data-identifyelement=""536"" dir=""ltr""><tbody data-identifyelement=""537""><tr data-identifyelement=""538""><td data-identifyelement=""539"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Help Desk Line\t&quot;}"" style=""width: 10.7588%;""><strong data-identifyelement=""540"">Help Desk Line</strong></td><td data-identifyelement=""541"" data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:9266623005}"" style=""width: 35.9003%;"">9266623006</td><td data-identifyelement=""542"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Call from your registered mobile number&quot;}"">Call from your registered mobile number</td></tr><tr data-identifyelement=""543""><td data-identifyelement=""544"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Email Support&quot;}"" style=""width: 10.7588%;""><strong data-identifyelement=""545"">Email Support</strong></td><td data-identifyelement=""546"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;support@shiprocket.in&quot;}"" style=""width: 35.9003%;"">support@shiprocket.in</td><td data-identifyelement=""547"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Write us from your registered email id&quot;}"">Write us from your registered email id</td></tr><tr data-identifyelement=""548""><td data-identifyelement=""549"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Escalation Desk&quot;}"" style=""width: 10.7588%;""><strong data-identifyelement=""550"">Escalation Desk</strong></td><td data-identifyelement=""551"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Escalation@kartrocket.com&quot;}"" style=""width: 35.9003%;"">escalation@shiprocket.in</td><td data-identifyelement=""552"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Write us with Ticket number in case you are not \nsatisified with reply shared on complaint.&quot;}"">Write us with Ticket number in case you are not<br data-identifyelement=""553"">satisfied with the reply shared by the support team.</td></tr><tr data-identifyelement=""554""><td data-identifyelement=""555"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Feedback&quot;}"" style=""width: 10.7588%;""><strong data-identifyelement=""556"">Feedback</strong></td><td data-identifyelement=""557"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;feedback@kartrocket.com&quot;}"" style=""width: 35.9003%;"">feedback@shiprocket.in</td><td data-identifyelement=""558"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Share your feedback if you are satisfied or \nun-satisfied with Shiprocket support.&quot;}"">Share your feedback if you are satisfied or<br data-identifyelement=""559"">unsatisfied with the Shiprocket support.</td></tr></tbody></table><p data-identifyelement=""560""><br data-identifyelement=""561""></p><p data-identifyelement=""562""><br data-identifyelement=""563""></p>"
43000271385,43000413780,43000564647,What is Profile Milestone?," Create a 100% complete Shiprocket profile       Shiprocket Profile Milestone is a set of tasks that need to be completed in order to use your account. It has four steps:     1. General Information  2. Shipping & Billing Address  3. Bank Account Details  4. KYC Verification        ABOUT YOU      Share a little about your business with us. Based on your response, we’ll show you more relevant notifications about your account.        COMPANY DETAILS              Provide basic business details of your company such as; company/brand name, email address, and GSTIN.    Add your billing & shipping address. The same will be considered as your primary pickup address. You can change your primary pickup address anytime from ""Company Settings"".    Customize your buyer invoice by uploading your logo and signature of the authorized signatory.    In addition, you can also add your invoice prefix and suffix.      ACCOUNT INFORMATION           You’re almost there! Submit your bank details with us to receive speedy remittance. Please verify your details before submitting it.  It takes 2-3 business days to verify your bank details. Once approved, you’ll get a notification from our side.        KYC            To identify you as a genuine seller, we need you to complete your KYC verification. You can complete your KYC verification either as an individual or as a company. Go ahead and submit any of the required documents and ID proofs to complete the verification process.  It takes 2-3 business days to verify your KYC details. Once verified, you’ll get a notification from our side.                         ","<p style=""text-align: center;""><strong><span style=""font-family: Arial, Helvetica, sans-serif; color: rgb(0, 0, 0);"">Create a 100% complete Shiprocket profile</span></strong></p><p style=""text-align: center;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43117759522/original/UMYk3sU-O8Yk8kCX1N-HVyjCFDpGoXkNPQ.png?1584610846"" style=""width: auto;"" class=""fr-dib fr-bordered"" data-attachment=""[object Object]"" data-id=""43117759522""></strong></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">Shiprocket Profile Milestone is a set of tasks that need to be completed in order to use your account. It has four steps:</span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">1. General Information</span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">2. Shipping &amp; Billing Address</span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">3. Bank Account Details</span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">4. KYC Verification</span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong>ABOUT YOU</strong><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">Share a little about your business with us. Based on your response, we’ll show you more relevant notifications about your account.&nbsp;</span></span><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43251010144/original/k9-pW0S01hZFhuKBlm1i1PhtybMdDNi62A.png?1630646354"" style=""width: auto;"" class=""fr-fil fr-dib"" data-id=""43251010144"" data-attachment=""[object Object]""></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43251010249/original/alk3S0nlXRUWTX-Vk1c5U3aeHeVwDqvQjA.png?1630646409"" style=""width: auto;"" class=""fr-fil fr-dib"" data-id=""43251010249"" data-attachment=""[object Object]""></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong>COMPANY DETAILS</strong></span></span></p><p style=""text-align: left;""><br></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43117769403/original/6jWJ7xgPIH9r4eyMkSFanW_eLwMYAY_j1Q.png?1584612849"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43117769403""></strong><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43117770378/original/bWllSZygCFDsZD5erYwS5FvmuAk_kZxJ3A.png?1584613062"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43117770378""></strong></span></span></p><h6><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></h6><ul style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 10.5px; padding-left: 15px !important; color: rgb(101, 101, 101); font-family: &quot;Open Sans&quot;, sans-serif; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial;""><li><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">Provide basic business details of your company such as; company/brand name, email address, and GSTIN.</span></span><br><br></li><li><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">Add your billing &amp; shipping address. The same will be considered as your primary pickup address. You can change your primary pickup address anytime from ""Company Settings"".</span></span><br><br></li><li><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">Customize your buyer invoice by uploading your logo and signature of the authorized signatory.</span></span><br><br></li><li><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;"">In addition, you can also add your invoice prefix and suffix.</span></span></li></ul><p><br></p><p><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong>ACCOUNT INFORMATION</strong></span></span></p><p><br></p><p><br></p><p><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171697979/original/YiH8VdbYNAwlOdwZY-ljwqSR2Lk-RqfMSQ.png?1604914108"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43171697979""></strong></span></span><br></p><p>You’re almost there! Submit your bank details with us to receive speedy remittance. Please verify your details before submitting it.</p><p>It takes 2-3 business days to verify your bank details. Once approved, you’ll get a notification from our side.</p><p><br></p><p><br></p><p><strong>KYC</strong></p><p><br></p><p><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171699993/original/OeJgF4fhdBDBduO70Q5LKZl73DZex4sh4g.png?1604914466"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43171699993""></strong></p><p><strong><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171700083/original/bsQdIbaWCsVcH4xXOXmH8NSSRqWeTA-7wA.png?1604914482"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43171700083""></strong></p><p><br></p><p>To identify you as a genuine seller, we need you to complete your KYC verification. You can complete your KYC verification either as an individual or as a company. Go ahead and submit any of the required documents and ID proofs to complete the verification process.</p><p>It takes 2-3 business days to verify your KYC details. Once verified, you’ll get a notification from our side.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><span style=""color: rgb(0, 0, 0);""><span style=""font-family: Arial,Helvetica,sans-serif;""><br></span></span></p><p style=""text-align: left;""><span style=""font-family: Arial, Helvetica, sans-serif; color: rgb(0, 0, 0);""><br></span></p><p style=""text-align: left;""><br></p>"
43000271385,43000413780,43000594213,Can I add my brand logo and product details to the shipping label?," We have added a new label in the dimensions 6 inches into 4 inches that are suitable for thermal printers. This label contains information about the product and price details along with the brand logo.     Here is what it would look like –          To choose this label for your shipments, follow these simple steps –      1. Go to → Settings → Company → Change Label     2. Select the third format to start using these new labels.          Note: If you don't want to show your product name in the label, simply tick the check box ""Hide Product Name in Label"". Click on the       ","<p>We have added a new label in the dimensions 6 inches into 4 inches that are suitable for thermal printers. This label contains information about the product and price details along with the brand logo.</p><p><br></p><p><strong>Here is what it would look like –</strong></p><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43155836075/original/xbxHWuQr8beN6h2mwUg24DcgJd9Lest14w.jpg?1599547473"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43155836075""></p><p><br></p><p>To choose this label for your shipments, follow these simple steps – </p><p><br></p><p>1. Go to → Settings → Company → Change Label</p><p><br></p><p>2. Select the third format to start using these new labels.</p><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43155836636/original/b6rVdKfNlSB3t4GlA0-fa3y0shlSo-S4iQ.jpg?1599547610"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43155836636""></p><p><br></p><p><strong>Note: If you don't want to show your product name in the label, simply tick the check box ""Hide Product Name in Label"". Click on the </strong></p><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171690206/original/cBaiGCCWkzIXa1fcWlZCgkA4-lgIpxX-xw.png?1604912654"" style=""width: auto;"" class=""fr-fil fr-dib fr-bordered"" data-attachment=""[object Object]"" data-id=""43171690206""></p>"
43000271385,43000441770,43000319664,What are the different plans available in Shiprocket? Which plan is best for me?," Shiprocket offers several plans to our users based on their business and shipping needs.:     LITE: We recommend this plan for sellers who ship not over 60 shipments in a month. It’s a FREE plan with 0 month minimum sign up period. The shipping rate starts from Rs 29/500 gms (exclusive of GST). Choose this plan if you are a social seller or a newbie in the world of e-commerce.      BASIC: Get this plan if you ship between 60-100 shipments in a month. This would be a good plan to buy if you also sell in different channels like Amazon, Shopify, etc. You get 2 channels integration at a monthly price of Rs. 1000. In the basic plan, shipping rates start from Rs 21/500 gms (exclusive of GST).      ADVANCED: This plan is for someone who ships between 100-300 shipments in a month. Also, choose this plan if you have around 10000 SKUs in your inventory. Other than that, we offer all 7 channel integration in our Advanced plan. The per month price of Advanced Plan is 2000/month and the shipping rate starts from Rs 20/500 gms (exclusive of GST).      PRO: The Pro Plan is for sellers who ship between 300-1000 shipments in a month. It’s a great plan for sellers who have a large inventory as we offer around 25000 SKUs in this plan. Also, you will get all 7 channel integration and your own Key Account Manager to help you out. The per month price of Pro Plan is 3000/month and the shipping rate starts from Rs 19/500 gms (exclusive of GST).       ENTERPRISE: This is an exclusive plan for sellers who ship over 2500 shipments per month. It is a completely unique plan that is not available to everyone on our panel. If you are interested in this plan, we would request you to contact our seller support team at +91-9266623006.                To know more about our plans, click here    ","<p dir=""ltr"">Shiprocket offers several plans to our users based on their business and shipping needs.:</p><p><br></p><p dir=""ltr""><u><strong>LITE:</strong></u> We recommend this plan for <strong>sellers who ship not over 60 shipments in a month</strong>. It’s a FREE plan with 0 month minimum sign up period. The shipping rate starts from Rs 29/500 gms (exclusive of GST). Choose this plan if you are a social seller or a newbie in the world of e-commerce. </p><p><br></p><p dir=""ltr""><strong><u>BASIC:</u></strong> Get this plan if you <strong>ship between 60-100 shipments in a month</strong>. This would be a good plan to buy <strong>if you also sell in different channels like Amazon, Shopify</strong>, etc. <strong>You get 2 channels integration</strong> at a monthly price of Rs. 1000. In the basic plan, shipping rates start from Rs 21/500 gms (exclusive of GST). </p><p><br></p><p dir=""ltr""><strong><u>ADVANCED:</u></strong> This plan is for <strong>someone who ships between 100-300 shipments in a month.</strong> Also, choose this plan if <strong>you have around 10000 SKUs in your inventory</strong>. Other than that, <strong>we offer all 7 channel integration in our Advanced plan</strong>. The per month price of Advanced Plan is 2000/month and the shipping rate starts from Rs 20/500 gms (exclusive of GST). </p><p><br></p><p dir=""ltr""><strong><u>PRO:</u></strong> The Pro Plan is for <strong>sellers who ship between 300-1000 shipments in a month</strong>. It’s a great plan for <strong>sellers who have a large inventory as we offer around 25000 SKUs</strong> in this plan. Also,<strong> you will get all 7 channel integration</strong> and your own Key Account Manager to help you out. The per month price of Pro Plan is 3000/month and the shipping rate starts from Rs 19/500 gms (exclusive of GST).  </p><p><br></p><p dir=""ltr""><strong><u>ENTERPRISE:</u></strong> This is an exclusive plan for sellers who ship over 2500 shipments per month. It is a completely unique plan that is not available to everyone on our panel. If you are interested in this plan, we would request you to contact our seller support team at +91-9266623006. </p><p><br></p><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171693495/original/2EpCEHy0z9atsGjgKbFkz-ASwS0llic4-g.png?1604913287"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43171693495""></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43171693662/original/Vb_og2y55IZ_epUpmshDsDdRbdltFkEx-g.png?1604913311"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43171693662""></p><p><br></p><p>To know more about our plans, <a href=""https://app.shiprocket.in/billing-plan-details"" rel=""noreferrer noopener"" target=""_blank""><strong>click here</strong></a></p><p><br></p>"
43000271385,43000441770,43000463628,Can I upgrade and downgrade my plan at any time?," At Shiprocket, we have several plans which fit any shipping requirement a seller might have. If you are interested in upgrading your plan, please follow the steps below:     1. Upgrade your plan:      Click on the Billing tab from the left menu  Now, click on the Current Plan Details tab. It will redirect you to a page where you can see our different plans in detail         We would recommend you to go through each plan before deciding to get one  Once you have decided, scroll all the way down and you'll find an Activate button. Please click on the Activate button to get that plan.     After this, you'll be required to choose the duration of the plan. You can also enter a coupon code here if you have any.     Click on Pay now. You'll be redirected to a payment page where you can proceed your payment.       2. Downgrade your plan     If you wish to degrade your plan, you need to contact our seller support team via email and they'll be able to help you out. You can also create a support ticket from your Shiprocket panel.  ","<p>At Shiprocket, we have several plans which fit any shipping requirement a seller might have. If you are interested in upgrading your plan, please follow the steps below:</p><p><br></p><p><strong>1. Upgrade your plan:</strong></p><p><br></p><ol><li>Click on the Billing<em> </em>tab from the left menu</li><li dir=""ltr"">Now, click on the <strong>Current Plan<em> </em>Details</strong> tab.<em> </em>It will redirect you to a page where you can see our different plans in detail</li></ol><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43222752834/original/jWnlvhWTxBDVKBUkAYP4FWhjb-AXenX4zQ.png?1621605853"" style=""width: auto;"" class=""fr-fil fr-dib"" data-attachment=""[object Object]"" data-id=""43222752834""></p><ol><li>We would recommend you to go through each plan before deciding to get one</li><li>Once you have decided, scroll all the way down and you'll find an Activate button. Please click on the Activate button to get that plan.<br><br><img class=""fr-dib fr-fil fr-bordered"" src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43024950236/original/O82W0ZV-4MOoiDYV3JXEyOo_Kxc-lNP89A.PNG?1549543720"" style=""width: 770px; height: 125.626px;"" data-filelink=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43024950236/original/O82W0ZV-4MOoiDYV3JXEyOo_Kxc-lNP89A.PNG?1549543720"" data-fileid=""43024950236"" data-uniquekey=""1549542186309""><br></li><li>After this, you'll be required to choose the duration of the plan. You can also enter a coupon code here if you have any.<br><br><img class=""fr-dib fr-fil fr-bordered"" src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43024950432/original/KyM9qiA5y74KEcSchmkGtlHF2Yz7UMvwfQ.PNG?1549543770"" data-filelink=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43024950432/original/KyM9qiA5y74KEcSchmkGtlHF2Yz7UMvwfQ.PNG?1549543770"" data-fileid=""43024950432"" data-uniquekey=""1549542186309"" style=""width: 350px; height: 257.094px;""><br></li><li>Click on Pay now. You'll be redirected to a payment page where you can proceed your payment. </li></ol><p><br></p><p><strong dir=""ltr"">2. Downgrade your plan</strong></p><p><br></p><p>If you wish to degrade your plan, you need to <strong>contact our seller support team</strong> via email and they'll be able to help you out. You can also create a support ticket from your Shiprocket panel. </p>"
43000271385,43000441770,43000604030,Can I use the wallet balance to pay my SaaS invoice?," Sorry! Currently, we do not allow you to pay the SaaS invoice using your wallet balance.  ","<p>Sorry! Currently, we do not allow you to pay the SaaS invoice using your wallet balance. </p>"
43000271388,43000441775,43000460575,Why are there additional charges for weight and RTO on my account?," When there is a difference between the weight entered by the seller and the actual weight shared by the courier partner, additional charges applied on the seller.      For RTO, if the order is to be returned to the origin, the additional charges are the standard charge taken by the courier company.    ","<p>When there is a difference between the weight entered by the seller and the actual weight shared by the courier partner, additional charges applied on the seller. </p><p><br></p><p>For RTO, if the order is to be returned to the origin, the additional charges are the standard charge taken by the courier company.</p><p><br></p>"
43000271388,43000441775,43000474458,What is RTO? What are the possible reasons behind RTO?,"    Your shipment comes in RTO panel when the courier executive couldn't deliver your shipment to the end buyer. In this case they mark the shipment RTO and sent it back to the original pickup address.     There could be a number of reasons behind RTO such as; customer rejects shipment at the time of delivery, incomplete address, the customer is not ready with cash, etc.        ","<p><br></p><p>Your shipment comes in RTO panel when the courier executive couldn't deliver your shipment to the end buyer. In this case they mark the shipment RTO and sent it back to the original pickup address.</p><p><br></p><p>There could be a number of reasons behind RTO such as; customer rejects shipment at the time of delivery, incomplete address, the customer is not ready with cash, etc. </p><p><br></p><p><br></p>"
43000271388,43000441775,43000474459,Where can I check RTO orders in panel?," To check RTO orders in the panel, you need to follow the steps mentioned below:     Step 1) Login to Shiprocket Panel http://app.shiprocket.in with your credentials.  Step 2) Go to the Shipments tab  Step 3) Select RTO Tab to check RTO orders.     Screen shot attached below for your reference:         ","<p>To check RTO orders in the panel, you need to follow the steps mentioned below:</p><p><br></p><p>Step 1) Login to Shiprocket Panel <a href=""http://app.shiprocket.in"" rel=""noreferrer"">http://app.shiprocket.in</a> with your credentials.</p><p>Step 2) Go to the Shipments tab</p><p>Step 3) Select RTO Tab to check RTO orders.</p><p><br></p><p>Screen shot attached below for your reference:</p><p><br></p><p><img class=""fr-dib fr-fil fr-bordered"" src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/43251635908/original/4g8yDQ6tONqjkfaURUOmSTYLlDCouR5d4Q.png?1630925082"" data-fileid=""43021829337"" style=""width: 862px; height: 303.857px;"" data-attachment=""[object Object]"" data-id=""43251635908""></p><p><br></p>"
43000271388,43000441775,43000479581,How to reduce RTO in shipping?,"  You can reduce your RTO cost by following the tips given below:     1. Contact Information - Please make sure you fill correct and complete address with landmark while filling the customer's address. The same goes for his/her contact number.  2. Fake Orders - You can easily detect fake orders by identifying the contact details provided by the buyers. It could be a fake phone number, strange address, or even an email address. The key here is to stay alert against frauds.  3. Order - Make sure you are sending the right order to your customers.  4. NDR - Take action on NDR in time.     ","<div rel=""clipboard_data""><p>You can reduce your RTO cost by following the tips given below:</p><p><br></p><p>1. <strong>Contact Information -</strong> Please make sure you fill correct and complete address with landmark while filling the customer's address. The same goes for his/her contact number.</p><p>2. <strong>Fake Orders - </strong>You can easily detect fake orders by identifying the contact details provided by the buyers. It could be a fake phone number, strange address, or even an email address. The key here is to stay alert against frauds.</p><p>3. <strong>Order - </strong>Make sure you are sending the right order to your customers.</p><p>4. <strong>NDR - </strong>Take action on NDR in time.</p></div><p><br></p>"
